Pressure 1 (psia)	Pressure 2 (psia)	Pressure 3 (psia)	Pressure 4 (psia)	Pressure 5 (psia)	Pressure 6 (psia)	Pressure 7 (psia)	Pressure 8 (psia)
8.375619	5.499297	8.131242	8.860764	9.239684	9.522817	9.691139	9.833316
8.905392	8.412620	9.418717	9.786798	10.062676	10.282447	10.412972	10.526679
9.389731	9.079214	9.833506	10.140260	10.374144	10.557275	10.668639	10.765402
10.052019	9.865911	10.405047	10.633086	10.808238	10.953283	11.041914	11.120484
10.554606	10.432087	10.827372	11.011209	11.144602	11.262037	11.328919	11.400785
10.975936	10.889233	11.172339	11.332872	11.438582	11.531727	11.583211	11.638622
8.438982	7.414520	8.915442	9.351310	9.680274	9.930369	10.083094	10.214009
8.373159	5.440910	5.051280	7.968384	8.644775	9.018086	9.217637	9.384982
8.370236	5.440883	4.385771	5.239450	8.125009	8.627252	8.862311	9.032787
8.370381	5.439445	4.359165	3.964911	4.214617	7.282937	7.966828	8.260763
8.370101	5.437518	4.383392	3.965020	3.532653	4.735569	6.748903	7.335896
8.373801	5.437581	4.436740	3.986569	3.559205	3.149056	5.189078	5.942005
